Представление,Основной контакт,ЭДО,Основные сведения
АЛЬТЕРНАТИВА ООО (ИНН 7720415795),Козлова Ангелина Викторовна,1,"ООО ""АЛЬТЕРНАТИВА""
ИНН 7720415795
КПП 772001001
ОГРН 1187746224907
111675, Город Москва, вн.тер. г. Муниципальный Округ Косино-Ухтомский, ул Руднёвка, дом 11, квартира 149
111675, Город Москва, вн.тер. г. Муниципальный Округ Косино-Ухтомский, ул Руднёвка, дом 11, квартира 149
111675, Город Москва, вн.тер. г. Муниципальный Округ Косино-Ухтомский, ул Руднёвка, дом 11, квартира 149


Козлова Ангелина Викторовна
Ощепков Андрей Сергеевич"
АЛЬТЕРРА ООО (5001061647),Виноградов Дмитрий Борисович,1,"ООО ""АЛЬТЕРРА""
ИНН 5001061647
КПП 500101001
ОГРН 1075001001943
polosina@prompylesos.ru
143912, Московская обл, Балашихинский р-н, Балашиха г, Евстафьева ул, дом 19, помещение 28
143912, Московская обл, Балашихинский р-н, Балашиха г, Евстафьева ул, дом 19, помещение 28
Виноградов Дмитрий Борисович
Клешнина Ольга Васильевна"
АЛЬФА ЗАС ООО,Кетов Владимир Николаевич,,"ООО ЗАС ""АЛЬФА""
ИНН 2720021431
КПП 272001001
ОГРН 1022700858355
 artelalfa@mail.ru
680511, край Хабаровский, м.р-н Хабаровский, с.Матвеевка, д. 31, литер А1
(4212) 75-61-20, тел./факс 75-61-21
680031, Хабаровский край, г.о. город Хабаровск, переулок Дежнева, д. 18А, офис 203-209
680511, Хабаровский край, м.р-н Хабаровский, с.Матвеевка, с Матвеевка, кв-л Северный, д. 31, литер А1
Кетов Владимир Николаевич
Бакулин Александр"
АЛЬФА ООО (2463253490),Гришков Николай Иванович,1,"ООО ""АЛЬФА""
ИНН 2463253490
КПП 246301001
ОГРН 1142468010761
660028, Красноярский край, Красноярск г, Новосибирская ул, дом № 39А
Гришков Николай Иванович"
АЛЬФА ООО (5027314109),Шипарев Александр Александрович,1,"ООО ""АЛЬФА"" (5027314109)
ИНН 5027314109
КПП 502701001
ОГРН 1235000019484
gtv.msk@mail.ru
8(495)649-30-43,8(495)649-30-45
140005, Московская область, г.о. Люберцы, г Люберцы, ул Кирова, дом 20А, этаж 2, офис 208
140005, Московская область, г.о. Люберцы, г Люберцы, ул Кирова, дом 20А, этаж 2, офис 208


Шипарев Александр Александрович
Володько Антон"
АЛЬФА ООО (7743799555),Барсуков Илья Александрович,1,"ООО ""АЛЬФА""
ИНН 7743799555
КПП 774301001
ОГРН 1107746939464
adz@autoventuri.ru
тел: 8(499)444-84-45 доб 115.
125080, Москва г, Волоколамское ш, дом 15/22, помещение IX, этаж П, комната 6А,6Б
125080, Москва г, Волоколамское ш, дом 15/22, помещение IX, этаж П, комната 6А,6Б
Барсуков Илья Александрович
Сезнева Ирина"
АЛЬФА ТРЕЙДИНГ ООО,,1,"ООО ""АЛЬФА ТРЕЙДИНГ""
ИНН 5406827908
КПП 540601001
alfatreid.nsk@gmail.ru
630099, Новосибирская обл, г Новосибирск, ул Каменская, д. 32, офис 405Б
630099, Новосибирская обл, г Новосибирск, ул Каменская, д. 32, офис 405Б
Белан Степан Андреевич"
АЛЬФАМОБИЛЬ ООО,Коржавин Павел Александрович,1,"ООО ""АЛЬФАМОБИЛЬ""
ИНН 7702390587
КПП 720345001
ОГРН 1157746875373
625048, Тюменская обл, г.о. город Тюмень, г Тюмень, ул Максима Горького, д. 76
129110, Москва г, ул. Большая Переяславская, дом 46, строение 2, ЭТ. 4,ПОМ.I К.16,17
Коржавин Павел Александрович
Ощепков Андрей Сергеевич"
АЛЬФАМОБИЛЬ ООО,Коржавин Павел Александрович,1,"ООО ""АЛЬФАМОБИЛЬ""
ИНН 7702390587
КПП 246545001
ОГРН 1157746875373
129110, Москва г, Большая Переяславская ул, дом 46, строение 2, офис ЭТ. 4,ПОМ.I К.16,17
129110, Москва г, Большая Переяславская ул, дом 46, строение 2, офис ЭТ. 4,ПОМ.I К.16,17
Коржавин Павел Александрович
Администратор"
АЛЬФАМОБИЛЬ ООО (КПП 770201001),Коржавин Павел Александрович,1,"ООО ""АЛЬФАМОБИЛЬ""
ИНН 7702390587
КПП 246545001
ОГРН 1157746875373
660077, Красноярский край, г Красноярск, ул Алексеева, д. 49, 8-08
129110, Москва г, ул. Большая Переяславская, дом 46, строение 2, ЭТ. 4,ПОМ.I К.16,17
Коржавин Павел Александрович
Ерохин Андрей"
Альфамобиль ООО (НЕ ИСПОЛЬЗОВАТЬ),,1,"ООО ""Альфамобиль""
ИНН 7702390587
КПП 770201001"
АЛЬФАМОБИЛЬ ООО Красноярск,,1,"ООО ""Альфамобиль""
ИНН 7702390587
КПП 246545001
ОГРН 1157746875373
660077, Красноярский край, г.о. город Красноярск, г Красноярск, ул Алексеева, д. 49, 8-08
660077, Красноярский край, г.о. город Красноярск, г Красноярск, ул Алексеева, д. 49, 8-08
Администратор"
АЛЬФА-ПРОДУКТ ООО,Новикова Ирина Владимировна,1,"ООО ""АЛЬФА-ПРОДУКТ""
ИНН 3814003172
КПП 381401001
ОГРН 1023801911540
666303, Иркутская обл, г. Саянск, мкр Мирный, дом 2/1
666303, Иркутская обл, г. Саянск, мкр Мирный, дом 2/1
Новикова Ирина Владимировна
Ковалёв Михаил"
АльфаСтрахование АО,,,"АО ""АльфаСтрахование""
ИНН 7713056834
КПП 772501001
Клешнина Ольга Васильевна"
АЛЬФАТРАНС ООО,Ильясова Светлана Альвиртовна,1,"ООО ""АЛЬФАТРАНС""
ИНН 8603231926
КПП 860301001
ОГРН 1188617001100
628602, Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, пр-д Куропаткина, дом 1, квартира 34
628602, Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, пр-д Куропаткина, дом 1, квартира 34
Ильясова Светлана Альвиртовна
Ощепков Андрей Сергеевич"
АЛЬЯНС 2008 ООО,Утенков Валерий Александрович,,"ООО ""АЛЬЯНС 2008""
ИНН 2465207675
КПП 246501001
ОГРН 1082468018588
8 (391) 2026513
660111, Красноярский край, Красноярск г., Башиловская ул., дом № 18, строение 24
660111, Красноярский край, Красноярск г, Башиловская ул, дом № 18, корпус 24


Утенков Валерий Александрович
Администратор"
АЛЬЯНС ООО,Ломова Тамара Геннадьевна,1,"ООО ""АЛЬЯНС""
ИНН 2462045264
КПП 246201001
ОГРН 1152468061283
ssr24@mail.ru
89232813114
660004, Красноярский край, г. Красноярск, пр-кт Им.Газеты ""красноярский Рабочий"", дом 30А, офис 616
660004, Красноярский край, г. Красноярск, пр-кт Им.Газеты ""красноярский Рабочий"", дом 30А, офис 616
Ломова Тамара Геннадьевна
Прыткина Анна Николаевна"
АЛЬЯНС ООО,Жаворонок Константин Сергеевич,1,"ООО ""АЛЬЯНС""
ИНН 2465140678
КПП 246501001
ОГРН 1162468058653
660125, Красноярский край, Красноярск г, 9 Мая ул, дом № 20, помещение 36
660125, Красноярский край, Красноярск г, 9 Мая ул, дом № 20, помещение 36


Жаворонок Константин Сергеевич
Администратор"
АЛЬЯНС ООО,Цветков Иван Вадимович,1,"ООО ""АЛЬЯНС""
ИНН 3808272770
КПП 380801001
ОГРН 1203800023459
alyans-1989@mail.ru
(3952) 415-331
664003, Иркутская обл, Иркутск г, Киевская ул, дом 9А, офис 101/2
664003, Иркутская обл, Иркутск г, Киевская ул, дом 9А, офис 101/2
Цветков Иван Вадимович
Клешнина Ольга Васильевна"
АЛЬЯНС ООО (309),Тарасов Антон Васильевич,1,"ООО ""АЛЬЯНС""
ИНН 7604358810
КПП 760601001
ОГРН 1197627018907
150003, Ярославская Область, г.о. Город Ярославль, г Ярославль, ул Республиканская, дом 3, офис 213КОРПУС4
150003, Ярославская Область, г.о. Город Ярославль, г Ярославль, ул Республиканская, дом 3, офис 213КОРПУС4
Тарасов Антон Васильевич
СБХ 309
Молчанов Семен Сергеевич (НЕ ИСПОЛЬЗОВАТЬ)"
АЛЬЯНС РАУМ ООО,Филатов Владимир Анатольевич,,"ООО ""АЛЬЯНС РАУМ""
ИНН 2466236365
КПП 246501001
ОГРН 1112468000611
+7 391 205 20 21
660111, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Кразовская, дом 4
660111, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Кразовская, дом 4
Филатов Владимир Анатольевич
Калинин Дмитрий Владимирович"
Альянс Снаб ООО,,1,"ООО ""Альянс Снаб""
ИНН 2543073598"
Альянс торг ООО,,1,"ООО ""Альянс торг""
ИНН 2536258661
690024, край Приморский, Владивосток, улица Шестая, д. ДОМ 9А, оф. ОФИС 6
690024, край Приморский, Владивосток, улица Шестая, д. ДОМ 9 А, оф. ОФИС 6"
АЛЬЯНС-АВТО АО,Гурский Михаил Константинович,1,"АО ""АЛЬЯНС-АВТО""
ИНН 6678043436
КПП 770401001
ОГРН 1146678006617
119048, Москва г, Усачёва ул, дом 62, этаж Мансарда, помещение IV, комната 8
119048, Москва г, Усачёва ул, дом 62, этаж Мансарда, помещение IV, комната 8
Гурский Михаил Константинович
Сезнева Ирина"
АЛЬЯНС-АВТО-ШАРЬЯ ООО,,1,"ООО ""АЛЬЯНС-АВТО-ШАРЬЯ""
ИНН 4407011490
КПП 440701001
157505, Костромская обл, Шарья г., Микрорайон 1-ый, д. 21А
157505, Костромская обл, Шарья г., Микрорайон 1-ый, д. 21А"
АЛЬЯНСПЛАСТ ООО,Двойникова Светлана Александровна,1,"ООО ""АЛЬЯНСПЛАСТ""
ИНН 3811441820
КПП 381101001
ОГРН 1163850100512
664050, Иркутская обл, Иркутск г, Маршала Жукова пр-кт, дом 5/1, квартира 26
664050, Иркутская обл, Иркутск г, Маршала Жукова пр-кт, дом 5/1, квартира 26
Двойникова Светлана Александровна
Сезнева Ирина"
АЛЬЯНССТРОЙ ООО,,1,"ООО ""АЛЬЯНССТРОЙ""
ИНН 2464250195
КПП 246601001
ОГРН 1132468007748
660049, Красноярский край, Красноярск г, Дубровинского ул, дом № Здание 1, этаж Цокольный, помещение 6, комната 51
660049, Красноярский край, Красноярск г, Дубровинского ул, дом № Здание 1, этаж Цокольный, помещение 6, комната 51"
АЛЮ-М ТРЕЙД ООО,Владимиров Владислав Дмитриевич,1,"ООО ""АЛЮ-М ТРЕЙД""
ИНН 7720604520
КПП 772001001
ОГРН 1087746062216
111402, Москва г, Жемчуговой аллея, дом 5, корпус 2, Э 1 П 109 К 6 Рм 8
111402, Москва г, Жемчуговой аллея, дом 5, корпус 2, Э 1 П 109 К 6 Рм 8
Владимиров Владислав Дмитриевич
Сезнева Ирина"
АЛЮМТРЕЙД ООО,Сецко Михаил Викторович,1,"ООО ""АЛЮМТРЕЙД""
ИНН 2411025118
КПП 241101001
ОГРН 1152411000235
+7(923)3171731
660015, Красноярский край, Емельяновский р-н, Солонцы п, Котельникова пр-кт, дом № 17Г


Сецко Михаил Викторович
Администратор"
АЛЯСКА ООО,Моисеенко Александр Николаевич,1,"ООО ""АЛЯСКА""
ИНН 2460109794
КПП 246001001
ОГРН 1182468045803
660075, Красноярский край, г. Красноярск, ул. Маерчака, дом 18В, офис 304
660075, Красноярский край, г. Красноярск, ул. Маерчака, дом 18В, офис 304
660075, Красноярский край, г. Красноярск, ул. Маерчака, дом 18В, офис 304


Моисеенко Александр Николаевич
Клешнина Ольга Васильевна"
АМАЯМА АВТО ООО,Фищенко Алексей Витальевич,1,"ООО ""АМАЯМА АВТО""
ИНН 2536125566
КПП 253601001
ОГРН 1022501274377
690001, Приморский край, г Владивосток, ул Светланская, дом 78Б, офис 311
690001, Приморский край, г Владивосток, ул Светланская, дом 78Б, офис 311


Фищенко Алексей Витальевич
Дубинина Светлана Валерьевна"
Амелина Наталья Николаевна,,1,"ИП Амелина Наталья Николаевна
ИНН 246510531152
ОГРН ИП 312246804400172
Свидетельство 24 006062827
Кладовщик"
АМЕТИСТ ООО,Борхов Михаил Абрамович,1,"ООО ""АМЕТИСТ""
ИНН 2461222320
КПП 246101001
ОГРН 1132468030045
2333588@mail.ru
8(391) 2-333-588
660003, Красноярский край, Красноярск г, Новая ул, дом № 19
Борхов Михаил Абрамович
Кладовщик"
Амирханов Павел Сергеевич ИП,,1,"ИП Амирханов Павел Сергеевич
ИНН 246509948713
ОГРН ИП 308246802300137
Свидетельство 24 004893442
144644@mail.ru
Клешнина Ольга Васильевна"
АМИТЕХ - СЕРВИС ООО,Балашов Антон Андреевич,1,"ООО ""АМИТЕХ - СЕРВИС""
ИНН 2464262874
КПП 246401001
ОГРН 1142468037073
660078, Красноярский край, г. Красноярск, ул. Свердловская, дом 33
660078, Красноярский край, г. Красноярск, ул. Свердловская, дом 33


Балашов Антон Андреевич
Сезнева Ирина"
АМК ГРУПП ООО,Афанасьев Андрей Николаевич,1,"ООО ""АМК ГРУПП""
ИНН 7447219211
КПП 744801001
ОГРН 1137447000151
454014, Челябинская область, г.о. Челябинский, вн.р-н Курчатовский, г Челябинск, ул Солнечная, дом 7, офис 612В
454014, Челябинская область, г.о. Челябинский, вн.р-н Курчатовский, г Челябинск, ул Солнечная, дом 7, офис 612В
Афанасьев Андрей Николаевич
Козлов Евгений"
АМП ЗАПАДНОЙ АРКТИКИ ФГБУ,Диденко Сергей Константинович,,"ФГБУ ""АМП ЗАПАДНОЙ АРКТИКИ""
ИНН 5190800121
КПП 519001001
ОГРН 1025100841435
master@mapm.ru
(8152) 68-91-11 
183038, Мурманская область, г. Мурманск, пр-д Портовый, дом 1
183038, Мурманская область, г. Мурманск, пр-д Портовый, дом 1
Диденко Сергей Константинович
Клешнина Ольга Васильевна"
АМПЕР ООО,Крячко Алексей Александрович,1,"ООО ""АМПЕР""
ИНН 5404072610
КПП 540401001
ОГРН 1185476020652
4@led-sib.ru
2168496
630073, Новосибирская область, г. Новосибирск, ул. Стартовая, дом 4, офис 8
630073, Новосибирская область, г. Новосибирск, ул. Стартовая, дом 4, офис 8
Крячко Алексей Александрович
Прыткина Анна Николаевна"
АМПО-ЗАПЧАСТИ ООО,,1,"ООО ""АМПО-ЗАПЧАСТИ""
ИНН 2801179875
2670810
350063, Краснодарский край, Краснодар г., Гудимы ул., дом №43
350063, Краснодарский край, Краснодар г., Гудимы ул., дом №43"
АМС ГРУПП АО,,,"АО ""АМС ГРУПП""
ИНН 5044036155
КПП 504401001
ОГРН 1025005685540
141580, Московская обл, Солнечногорский р-н, Свободной Экономической Зоны Шерризон тер, строение № 1
141580, Московская обл, Солнечногорский р-н, Свободной Экономической Зоны Шерризон тер, строение № 1"
АмТех ООО,,1,"ООО ""АмТех""
ИНН 2464081109
660012, Красноярский край, г. Красноярск, ул. Семафорная, дом № 80, офис 10
660012, Красноярский край, г. Красноярск, ул. Семафорная, дом № 80, офис 10"
АМУРСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,Крылов Денис Александрович,1,"АМУРСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ
ИНН 2721164961
КПП 272101001
ОГРН 1092721000459
680000, Хабаровский край, Хабаровск г, Ленина ул, дом 4
680000, Хабаровский край, Хабаровск г, Ленина ул, дом 4


Крылов Денис Александрович
Сезнева Ирина"
АМУРТЕХРЕСУРС ООО,Лебедев Дмитрий Алексеевич,,"ООО ""АМУРТЕХРЕСУРС""
ИНН 2801267391
КПП 280101001
ОГРН 1222800000081
675001, Амурская область, г.о. Город Благовещенск, г Благовещенск, ул Октябрьская, дом 197, квартира 108
675001, Амурская область, г.о. Город Благовещенск, г Благовещенск, ул Октябрьская, дом 197, квартира 108
675001, Амурская область, г.о. Город Благовещенск, г Благовещенск, ул Октябрьская, дом 197, квартира 108


Лебедев Дмитрий Алексеевич
Ощепков Андрей Сергеевич"
АМУР-ТОРГ ООО,,,"ООО ""АМУР-ТОРГ""
ИНН 2801198860
КПП 280101001


Хохлов Владимир Владимирович"
АМУРТРАНС ООО,Масленникова Наталья Георгиевна,1,"ООО ""АМУРТРАНС""
ИНН 2807006036
КПП 280701001
ОГРН 1172801011822
676450, Амурская обл, г. Свободный, ул. Голубиная, дом 28
676450, Амурская обл, г. Свободный, ул. Голубиная, дом 28
Масленникова Наталья Георгиевна
Молчанов Семен Сергеевич"
Ананьев Михаил Евгеньевич ИП,,1,"Индивидуальный предприниматель Ананьев Михаил Евгеньевич
ИНН 7804305320
НомерТелефона=8-904-607-33-44"
Анастасия,Анастасия,1,"Анастасия
7-8182-65-78-30
Захаров Михаил"
Анастасия Генадьевна Смирнова (Физ.лицо).,,1,"Анастасия Генадьевна Смирнова (Физ.лицо).
Епищенко Анатолий"
Анашкин Роман Викторович ИП,,1,"ИП Анашкин Роман Викторович
ИНН 242903693336
ОГРН ИП 319246800118546
Клешнина Ольга Васильевна"
АНГАРА ООО ТД,Шипицина Евгения Валерьевна,1,"ООО ТД ""АНГАРА""
ИНН 3810067182
КПП 381101001
ОГРН 1163850097630
664009, Иркутская Область, г.о. Город Иркутск, г Иркутск, ул Депутатская, дом 89А, офис 13
664009, Иркутская Область, г.о. Город Иркутск, г Иркутск, ул Депутатская, дом 89А, офис 13
Шипицина Евгения Валерьевна
Ковалёв Михаил"
АНГАРА-1 ОАО,Валеев Кирилл Рафикович,1,"ОАО ""АНГАРА-1""
ИНН 3842000423
КПП 384901001
ОГРН 1023802771002
666357, Иркутская обл, Усть-Удинский р-н, В 300 Метрах Севернее С. Малышевка ул
666357, Иркутская обл, Усть-Удинский р-н, В 300 Метрах Севернее С. Малышевка ул
Валеев Кирилл Рафикович
Ощепков Андрей Сергеевич"
АНГАРА-ТИМБЕРЛАЙН ООО,Ерзиков Роман Владимирович,1,"ООО""АНГАРА-ТИМБЕРЛАЙН""
ИНН 3808167736
КПП 380801001
ОГРН 1073808010924
664011, Иркутская обл, Иркутск г, Карла Маркса ул, дом 33, квартира 3
664011, Иркутская обл, Иркутск г, Карла Маркса ул, дом 33, квартира 3
Ерзиков Роман Владимирович
Молчанов Семен Сергеевич"
АНГАРО-БАЙКАЛЬСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,,1,АНГАРО-БАЙКАЛЬСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ
АНГАРО-БАЙКАЛЬСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,Гармаев Роман Васильевич,1,"АНГАРО-БАЙКАЛЬСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ
ИНН 0326043666
КПП 032601001
ОГРН 1070326002878
670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом 18
670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом 18
Гармаев Роман Васильевич
Администратор"
АНГАРО-БАЙКАЛЬСКОЕ ТУ РОСРЫБОЛОВСТВА,,1,"АНГАРО-БАЙКАЛЬСКОЕ ТУ РОСРЫБОЛОВСТВА
ИНН 0326043666
КПП 032601001
ОГРН 1070326002878
670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом № 18
670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом № 18"
АНГАРСКАЯ СОСНА ООО,Лавыгин Сергей Александрович,1,"ООО ""АНГАРСКАЯ СОСНА""
ИНН 2465140702
КПП 246501001
ОГРН 1162468058719
mail: 2051829@list.ru
660077, Красноярский край, г. Красноярск, ул. Весны, дом 22, квартира 37
660077, Красноярский край, г. Красноярск, ул. Весны, дом 22, квартира 37
Лавыгин Сергей Александрович
Прыткина Анна Николаевна"
АНГАРСКИЙ ЛЕС ООО,Лавыгин Александр Васильевич,1,"ООО ""АНГАРСКИЙ ЛЕС""
ИНН 2465191496
КПП 246601001
ОГРН 1192468002451
2198919@list.ru
+7 (391) 219-89-19
660118, Красноярский край, г. Красноярск, ш. Северное, здание 25А, СТРОЕНИЕ 1
660118, Красноярский край, г. Красноярск, ш. Северное, здание 25А, СТРОЕНИЕ 1
Лавыгин Александр Васильевич
Прыткина Анна Николаевна"
Ангарстрой ООО,,,"Ангарстрой ООО
ИНН 5260188709
КПП 526001001
m.bazhanov@angarstroy.com
831-418-59-19
603093, Нижегородская обл, Нижний Новгород, Яблоневая, дом № 21
603093, Нижегородская обл, Нижний Новгород, Яблоневая, дом № 21"
Андреев Петр Николаевич,,1,"ИП Андреев Петр Николаевич
ИНН 141100000149
ОГРН ИП 304141115000030
Свидетельство 14 001762610
67830, Горный район, с. Бердигестях, ул. Строительная, 16
67830, Горный район, с. Бердигестях, ул. Строительная, 16
67830, Горный район, с. Бердигестях, ул. Строительная, 16
Ерохин Андрей"
Андреев Семён Владимирович ИП,,1,"ИП Андреев Семён Владимирович
ИНН 254303942608
ОГРН ИП 319253600089182
Сезнева Ирина"
Андреевский Кирилл Сергеевич ИП,,1,"ИП Андреевский Кирилл Сергеевич
ИНН 712201823606
ОГРН ИП 315715400054005
Свидетельство 71 002392731
main@spbtuning.ru
г. Санкт-Петербург, ул. Решетникова 17 к.1
+7 (812) 924-26-55
г. Санкт-Петербург, ул. Решетникова 17 к.1
Тульская область, м.р-н Белевский, г.п. город Белев
Володько Антон"
Андрей,Андрей,1,"Андрей
+7 (914) 0102884


Андрей
+7 (962) 2840975
Администратор"
Андрей Борисович,,1,+7 (905) 9980330
Андриенко Иван Викторович ИП,,1,"ИП Андриенко Иван Викторович
ИНН 541009896128
ОГРН ИП 319547600035637
Прыткина Анна Николаевна"
Андриенко Наталья Николаевна ИП,,1,"ИП Андриенко Наталья Николаевна
ИНН 246310371938
ОГРН ИП 319246800070380
Калинин Дмитрий Владимирович"
Андросов Аркадий Юрьевич,,,"ИП Андросов Аркадий Юрьевич
ИНН 540750191429
ОГРН ИП 317547600036063
Сезнева Ирина"
Андрющенко Павел Анатольевич,,1,"Андрющенко Павел Анатольевич
Документ Паспорт: 9817 743254, МРО УФМС России по Республике Саха, 25.09.2017
Республика Саха, гор. Нерюнгри, у. Пр-кт Ленина, д. 1, корп. 2, кв.72
Республика Саха, гор. Нерюнгри, у. Пр-кт Ленина, д. 1, корп. 2, кв.72"
Аносова Дарья Валерьевна,,1,"ИП Аносова Дарья Валерьевна
ИНН 245908701709
ОГРН ИП 316246800141881
Свидетельство 24 006345890
Прыткина Анна Николаевна"
АНТАЙ ООО,Житов Николай Александрович,1,"ООО ""АНТАЙ""
ИНН 3827055322
КПП 382701001
ОГРН 1173850043180
8(950)084-084-6
666202, Иркутская область, р-н Качугский, рп. Качуг, ул. Рабочая, дом 40А, квартира 2
666202, Иркутская область, р-н Качугский, рп. Качуг, ул. Рабочая, дом 40А, квартира 2
Житов Николай Александрович
Ковалёв Михаил"
АНТАРА-М ООО,Нечипуренко Владислав Вячеславович,,"ООО ""АНТАРА-М""
ИНН 2463247136
КПП 246301001
ОГРН 1132468030705
vitrakontinent.2@gmail.com
660028, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Телевизорная, дом 1, строение 37, помещение 24
660028, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Телевизорная, дом 1, строение 37, помещение 24
Нечипуренко Владислав Вячеславович
Козлов Евгений"
АНТАРЕС ООО СЗ,Яцина Владимир Евгеньевич,,"ООО СЗ ""АНТАРЕС""
ИНН 8904070510
КПП 890401001
ОГРН 1128904008970
629305, Ямало-Ненецкий автономный округ, г.о. Город Новый Уренгой, г Новый Уренгой, ул Арктическая, дом 4, офис 1
629305, Ямало-Ненецкий автономный округ, г.о. Город Новый Уренгой, г Новый Уренгой, ул Арктическая, дом 4, офис 1
Яцина Владимир Евгеньевич
Ощепков Андрей Сергеевич"
АНТЕЙ ООО,Литвиненко Виктор Александрович,1,"ООО ""АНТЕЙ""
ИНН 2704007990
КПП 254301001
ОГРН 1022700912860
690039, Приморский край, г. Владивосток, ул. Енисейская, дом 23Д, офис 502
690039, Приморский край, г. Владивосток, ул. Енисейская, дом 23Д, офис 502
Литвиненко Виктор Александрович
Ерохин Андрей"
АНТЕЙ ООО НЕ ИСПОЛЬЗОВАТЬ,,1,"ООО ""АНТЕЙ""
ИНН 2704007990
КПП 254301001
ОГРН 1022700912860
690039, Приморский край, Владивосток г, Русская ул, дом № 19А, офис 1203
690039, Приморский край, Владивосток г, Русская ул, дом № 19А, офис 1203"
АНТИК ООО,,1,"ООО ""АНТИК"""
Антипин Сергей Витальевич ИП,,1,"Антипин Сергей Витальевич ИП
ИНН 3818023983
666780, Иркутская область, г. Усть-Кут, ул. Кирова, 84-63
666780, Иркутская область, г. Усть-Кут, ул. Кирова, 84-63"
Антипова Ольга Борисовна,,1,"ИП Антипова Ольга Борисовна
ИНН 246003677709
ОГРН ИП 318246800066293
Прыткина Анна Николаевна"
АНТИСПЛЭШ ООО,Сорокин Дмитрий Анатольевич,1,"ООО ""АНТИСПЛЭШ""
ИНН 7724830295
КПП 772401001
ОГРН 1127746282454
117105, Москва г, Нагатинский 1-Й проезд, дом 2, строение 6, офис ПОМЕЩЕНИЕ II ЭТАЖ 2, ОФИСЫ 1,5
117105, Москва г, Нагатинский 1-Й проезд, дом 2, строение 6, офис ПОМЕЩЕНИЕ II ЭТАЖ 2, ОФИСЫ 1,5


Сорокин Дмитрий Анатольевич
Клешнина Ольга Васильевна"
Антон,,1,
Антонов Денис Сергеевич ИП,,1,"ИП Антонов Денис Сергеевич
ИНН 246103442997
ОГРН ИП 316246800109674
Свидетельство 24 006338417
Администратор"
Антонов Никита Евгеньевич ИП,,,"ИП Антонов Никита Евгеньевич
ИНН 575106780911
ОГРН ИП 311574222400015
Свидетельство 57 001289665
Прыткина Анна Николаевна"
Антропов Сергей Геннадьевич ИП,,1,"ИП Антропов Сергей Геннадьевич
ИНН 222309253104
ОГРН ИП 319222500079752
720470@mail.ru 
Сезнева Ирина"
Анфилатов Никита Александрович,,1,"ИП Анфилатов Никита Александрович
ИНН 246209230706
ОГРН ИП 317246800100133"
"АО ""Кондитерско-макаронная фабрика ""КРАСКОН"" (НЕ ИСПОЛЬЗОВАТЬ)",Казанцев Владимир Иванович,1,"АО ""Кондитерско-макаронная фабрика ""КРАСКОН"" 
ИНН 2466073336
КПП 246601001
ОГРН 1022402651677
651567
660049, Красноярский край, Красноярск г, Мира пр-кт, дом № 19
Казанцев Владимир Иванович
Администратор"
"АО ""ОЗЕРНОВСКИЙ РКЗ № 55""",,,"АО ""ОЗЕРНОВСКИЙ РКЗ № 55""
ИНН 4108003484
КПП 410801001
Клешнина Ольга Васильевна"
АО «ХАТАНГСКИЙ МОРСКОЙ¶ТОРГОВЫЙ ПОРТ»,АО «ХАТАНГСКИЙ МОРСКОЙ¶ТОРГОВЫЙ ПОРТ»,1,"АО «ХАТАНГСКИЙ МОРСКОЙ¶ТОРГОВЫЙ ПОРТ»
+7 (391) 21503
Захаров Михаил"
АО ВТБ ЛИЗИНГ,Клюшников Сергей Михайлович,,"АО ВТБ ЛИЗИНГ
ИНН 7709378229
КПП 770901001
ОГРН 1037700259244
109147, Город Москва, ул. Воронцовская, дом 43, строение 1
109147, Город Москва, ул. Воронцовская, дом 43, строение 1
109147, Город Москва, ул. Воронцовская, дом 43, строение 1


Клюшников Сергей Михайлович
Ощепков Андрей Сергеевич"
